RMP,V_peak,APD40,APD90,Tri9040,dVdt_max,qNet,Ca_diast,Ca_peak,CTD50,CTD90,EMw90,Tttp,T_peak,Trt50,Trt90,dTdt_max,dTdt_min
-88.4254672,32.87265563,193.85,271.84,77.99,345.4830132,-0.019846708,71.62973462,463.3899147,201.12,352,80.16,168.2,22.8080829,113.93,223.64,0.247722178,-0.14041754
-88.60745871,33.98611038,167.03,241.06,74.03,357.4297284,0.004890578,77.85235873,577.4701737,222.23,421.1,180.04,188.77,37.21457997,132.17,255.24,0.358183096,-0.19624884
-89.02535729,37.50500895,205.67,315.39,109.72,394.2041617,-0.091939636,82.17715323,620.0763496,211.3,407.28,91.89,183.6,39.6318665,137.51,260.63,0.39556624,-0.202318933
-88.17268677,30.13841755,132.39,190.16,57.77,317.273072,0.078397031,82.8075065,571.9046183,178.56,347.6,157.44,167.84,32.80493786,114.94,229.62,0.351301101,-0.195108181
-88.81288622,40.5127647,206.83,298.35,91.52,433.9512904,-0.05083248,60.00133094,390.8206562,268.06,443.64,145.29,199.73,18.89523937,124.13,238.95,0.172615009,-0.109927334
-88.56331082,34.0696033,164.2,215.23,51.03,361.0415075,0.038549201,74.04235072,433.8936366,164.2,292.94,77.71,148.91,17.37529372,98.78,203.07,0.213870902,-0.120459785
-88.52248793,29.99744895,207.57,270.89,63.32,309.9091884,-0.056809773,71.12809619,406.2973295,201.3,342.26,71.37,161.12,16.53991349,112.88,221.74,0.189774176,-0.101772257
-88.25637035,29.92536382,151.11,209.02,57.91,319.1856967,0.056418144,63.04329702,474.8365814,215.75,387.07,178.05,181.09,26.48276328,112.54,224.42,0.260245027,-0.161871508
-88.14685224,29.42800597,144.69,198.34,53.65,313.263127,0.07804843,62.10988134,385.5531574,264.39,489.03,290.69,194.06,18.02264181,123.54,252.07,0.164230806,-0.097105405
-88.0034569,35.22682972,155.85,221.35,65.5,367.1303429,0.019709137,78.03992346,477.2347514,195.7,349.45,128.1,171.26,24.80031804,110.28,221.34,0.26221007,-0.155563079
-88.73921375,42.32896607,208.36,299.38,91.02,455.9014048,-0.078624782,68.22541193,438.0156821,228.79,379.39,80.01,177.82,21.57125278,122.15,232.82,0.2231924,-0.126589196
-88.36678861,39.29213989,125.61,186.41,60.8,420.9748329,0.108444799,70.33904861,421.3233865,256.18,497.92,311.51,187.72,21.33166894,132.26,268.96,0.205212047,-0.107123694
-88.53491427,34.81785027,179.86,250.54,70.68,368.9395711,0.013015119,77.72569237,522.3100043,159.55,295.81,45.27,153.49,25.08765949,103.82,209.1,0.296194728,-0.166471273
-88.82180107,28.63146746,235.67,324.33,88.66,299.6161676,-0.096907071,67.42838513,454.5991991,253.59,436.85,112.52,189.48,24.71246387,133.76,253.02,0.240219549,-0.132031481
-88.35061274,22.23158041,137.81,190.47,52.66,242.0398459,0.080934778,76.74661908,484.1700813,226.69,442.45,251.98,181.89,27.20332643,128.28,257.11,0.269776286,-0.142598874
-87.94441491,37.61889108,136.81,205.29,68.48,409.9456969,0.083561576,74.83959095,452.7660072,178.88,323.84,118.55,160.62,20.98948629,102.38,210.4,0.236404557,-0.139580618
-88.84295726,25.6563768,263.83,349.41,85.58,267.6558316,-0.118079808,72.23323177,428.2705772,225.86,389.96,40.55,171.33,19.72576688,127.38,244.88,0.212753293,-0.105202799
-88.77056505,25.9016977,244.93,320.09,75.16,278.6343888,-0.105983301,75.64620355,633.3953414,180.28,337.28,17.19,170.52,38.06751486,120.12,229.48,0.403958169,-0.222990683
-87.85307117,28.41209358,178.86,269.66,90.8,306.7934946,0.019627812,74.08382769,499.335506,185.98,347.04,77.38,164.17,25.45612906,112.24,223.68,0.28192087,-0.156091477
-88.40347762,27.85402547,169.17,227.78,58.61,297.6222278,0.013633631,72.07725121,526.7157081,195.84,356.4,128.62,173.29,29.83568905,113.38,224.09,0.31081692,-0.183600065
-88.51629004,39.74313686,163.95,225.16,61.21,424.7565114,0.012757129,75.75343521,550.3325925,163.77,297.33,72.17,158,28.46695978,103.49,207.67,0.325515534,-0.192733089
-88.13286017,33.31763611,168.39,239.33,70.94,347.0335945,-0.003472128,72.12072428,481.8813889,216.71,378.4,139.07,183.02,27.1992376,114.89,226.81,0.267579664,-0.165925286
-87.85092589,28.03602861,168.44,239.9,71.46,302.2846489,0.04365074,73.13299897,501.2024368,162.14,290.08,50.18,153.89,23.99848403,99.07,201.82,0.281436638,-0.167636514
-88.50044331,35.11621469,155.61,229.79,74.18,369.0241175,0.044247945,79.31273842,522.7571325,202.63,379.87,150.08,176.23,29.77195931,119.56,236.8,0.306435633,-0.171679278
-88.23073627,27.18224439,187.84,266.33,78.49,287.1285287,-0.032056652,79.95449779,668.5898018,173.93,328.34,62.01,170.84,40.86025352,116.72,225.8,0.432300059,-0.249195318
-88.55021512,40.23723762,177.24,248.45,71.21,429.9013788,-0.031686346,79.34242075,544.1293459,183.97,329.8,81.35,167.44,30.01697172,112.87,221.38,0.325085831,-0.187939074
-88.04554153,29.05207463,192.18,283.21,91.03,303.4006932,-0.023231545,58.53504442,464.711679,244.04,412.09,128.88,195.99,27.13155515,118.28,229.28,0.247237903,-0.163900863
-88.39203512,37.16995373,174.87,246.67,71.8,400.3657893,0.00395583,74.6530135,529.0357946,167.83,302.18,55.51,158.08,27.0001781,104.48,208.86,0.30852756,-0.180457166
-88.19272296,24.70982481,145.52,197.66,52.14,265.3463011,0.050999015,84.38022051,563.6087333,150.23,291.41,93.75,152.94,28.5010664,102.3,209.63,0.335862422,-0.189794028
-87.93497059,28.25196107,215.54,312.74,97.2,305.535221,-0.037666356,72.54553409,566.4087655,199.42,342.8,30.06,177.44,34.43542259,116.59,223.27,0.348954606,-0.210757893
-88.27305537,31.10793769,195.32,290.31,94.99,333.3107849,0.007458725,79.16459177,471.6262265,162.35,311.08,20.77,150.3,20.48962729,106.14,215.99,0.249196542,-0.128888703
-88.52605408,39.55568067,205.37,292.45,87.08,429.3079284,-0.034852494,71.63428,429.5256613,194.04,331.73,39.28,160.25,18.51938945,111.89,219.56,0.212601553,-0.113297744
-88.18010566,32.72263109,183.72,263.09,79.37,339.9582613,-0.022437192,87.51382758,601.0980665,155.79,296.26,33.17,157.73,32.45193796,108.51,215.81,0.371052649,-0.207836105
-88.06245289,38.87433731,169.76,263.84,94.08,408.0721481,-0.011491871,73.41731751,472.6415381,227.66,421.55,157.71,181.54,25.55441524,126.32,248.21,0.258200972,-0.140194682
-88.64704916,41.63723149,216.51,322.11,105.6,448.6482304,-0.059107579,71.92628713,407.6149304,204.49,348.65,26.54,160.87,16.55156245,117.31,228.55,0.190785174,-0.095287516
-88.44438099,25.75128009,180.58,254.84,74.26,258.4629609,-0.041709658,73.82290953,522.0027936,197.07,348.28,93.44,171.28,28.79545924,115.97,225.22,0.30534728,-0.176104213
-88.68041312,26.71472113,258.56,345,86.44,267.99178,-0.134740365,64.99771718,513.6253107,249.34,416.33,71.33,194.44,31.98494269,133.34,247.22,0.298962194,-0.173120615
-88.3715914,19.75392653,234.71,308.22,73.51,225.1962274,-0.049503546,75.70368356,488.5676375,185.49,346.97,38.75,161.7,23.73359849,115.37,228.2,0.267933156,-0.139428816
-88.83057456,29.35047254,208.38,271.33,62.95,307.9168581,-0.051210866,61.49215092,439.9557908,240.5,406.98,135.65,188.16,23.18863373,120.52,232.31,0.224760612,-0.138774926
-88.11769862,30.27791699,180.33,241.94,61.61,319.3309196,0.018321799,71.51269735,461.8241659,168.35,293.86,51.92,152.79,20.27043774,100.53,203.32,0.241726299,-0.140160129
-88.41241747,30.94023403,263.65,404.39,140.74,322.9750435,-0.128098026,66.40779165,518.4521609,248.43,424.95,20.56,192.43,32.14224355,136.9,254.93,0.304160556,-0.165443121
-88.00794542,22.18458537,150.78,205.14,54.36,219.1166936,0.056920066,71.42255596,423.9349222,206.6,383.92,178.78,170.11,19.52993527,112.13,228.55,0.208338836,-0.117614586
-87.96578159,39.18429288,152.09,230.34,78.25,412.5699278,0.043625459,71.46638649,482.0646694,196.15,356.31,125.97,170.93,24.80500388,110.51,221.25,0.262816961,-0.155132302
-88.708389,36.33584092,206.6,272.89,66.29,383.2595509,-0.050006435,68.84673822,440.1423545,188.92,322.79,49.9,158.53,19.27290297,109.48,215.04,0.222610125,-0.121531593
-88.55151226,34.03849643,180.4,248.73,68.33,357.2134728,-0.004586367,78.00073113,496.4930805,177.06,322.56,73.83,159.73,24.39703154,109.08,217.69,0.27804312,-0.154861684
-88.96370224,40.76316744,208.51,280.63,72.12,444.007904,-0.082329055,68.03087146,535.05885,214.53,366.02,85.39,180.27,31.71303146,121.31,229.99,0.319207429,-0.189726246
-88.84514002,38.45120544,210.46,279.26,68.8,408.7944783,-0.084490168,79.06284554,568.4384434,166.05,307.94,28.68,159.43,30.20359782,111.56,217.94,0.342840814,-0.187075924
-88.26198529,24.08452956,176.58,232.18,55.6,264.4337525,0.03999349,65.43506949,391.8101691,198.46,347.47,115.29,163.64,15.58611415,104.94,213.01,0.174823773,-0.102578311
-88.59799895,37.26783974,204.51,286.84,82.33,399.0735618,-0.047157269,71.60873947,593.5428051,177.98,317.61,30.77,167.47,34.15872711,112,216.53,0.367293013,-0.216753259
-88.89135157,26.29596088,275.68,357.71,82.03,237.585771,-0.161926145,58.46413393,386.1940864,266.64,426.35,68.64,185.74,17.11510368,132.66,248.52,0.170476365,-0.089653969
-88.29474591,41.54502671,186.54,260.88,74.34,443.0862499,-0.010672386,67.60204309,399.5391556,186.57,314.91,54.03,154.09,15.15804177,105.48,210.02,0.181969464,-0.099285822
-88.03510089,29.04309998,150.18,227.36,77.18,311.0884765,0.072565804,79.87199888,484.1296857,159.16,306.56,79.2,151.02,21.81017397,102.42,211.45,0.262657782,-0.143684897
-88.13402132,26.80970229,153.84,213.55,59.71,283.2460927,0.057432761,64.73028879,389.1607441,259.05,471.59,258.04,194.16,18.51810772,121.34,247.02,0.168659545,-0.102248016
-88.68568682,34.50017431,205.1,271.51,66.41,361.5668776,-0.036273143,77.15148792,433.9970562,156.19,294.24,22.73,143.44,16.42124289,103.36,210.84,0.210789097,-0.104077935
-88.75251743,38.56281235,152.31,209.25,56.94,415.5593761,0.038216432,74.47426701,525.8877112,188.88,351.13,141.88,169.47,28.94142742,112.52,224.02,0.308917313,-0.177848397
-88.13536462,38.80103723,163.51,236.12,72.61,421.5446242,0.023738254,62.58256217,373.8743486,226.8,393.33,157.21,178.52,15.45077156,110.08,222.27,0.158123877,-0.097062229
-88.44244348,24.95813146,207.41,271.16,63.75,235.4256072,-0.050841133,60.152541,401.8800806,257.16,429.17,158.01,198.1,20.10872946,118.83,231.99,0.182998231,-0.120902631
-88.73696272,32.84322999,245.08,346.91,101.83,341.7610366,-0.13049036,65.19719851,474.3094329,251.6,428.53,81.62,189,26.74212451,134.87,252.19,0.259843022,-0.141397989
-88.1588604,25.96818099,191.77,265.38,73.61,254.3816927,-0.034932527,59.25669131,483.1816084,244.22,417.56,152.18,197.15,29.39111253,120.39,232.79,0.266190361,-0.173983955
-88.8499181,37.95590305,186.45,255.87,69.42,405.119262,-0.057585375,72.8997357,526.2403347,228.36,407.33,151.46,188.15,32.08114612,127.17,244.11,0.310637481,-0.179678862
-88.38411739,28.13233053,170.73,244.31,73.58,296.3024478,0.004745407,94.46421852,675.1816351,150.59,295.39,51.08,160.55,38.48077053,110.55,219.56,0.431552219,-0.242235122
-88.1161019,21.86177452,158.67,209.01,50.34,221.7447835,0.018860545,79.16651576,617.4813844,156.75,299.29,90.28,159.09,34.30565744,105.62,211.82,0.386934521,-0.225629062
-88.11940404,26.57464672,152.87,215.6,62.73,288.6772544,0.035232238,77.17886262,602.6338858,200.06,395.44,179.84,178.56,37.54635547,127.51,248.42,0.380709318,-0.202922598
-88.47996097,25.3714987,281.29,368.96,87.67,271.7283079,-0.112944589,64.15025809,423.1719988,245.09,406.17,37.21,181.89,20.59171129,128.07,243.57,0.207990664,-0.11121292
-88.21879451,29.06974354,214.77,306.28,91.51,304.1236455,-0.032273217,60.45012991,400.2233055,250.38,407.84,101.56,193.51,19.49806545,117.2,227.07,0.182168089,-0.119650152
-87.53315763,35.92627952,122.77,214.72,91.95,380.5863001,0.117426178,70.69453239,377.044989,235.2,454.3,239.58,175.88,15.58065742,120.98,251.19,0.161290708,-0.084905703
-88.97727729,34.81014949,230.6,331.26,100.66,365.4691575,-0.082245723,66.7489088,442.422477,252.39,439.46,108.2,185.67,22.81209068,134.53,255.42,0.227115441,-0.119206403
-88.49618098,26.86849242,226.38,304.34,77.96,268.3919545,-0.082747168,60.84667627,406.2921045,247.94,410.44,106.1,186.2,19.26555241,123.01,234.94,0.190092289,-0.113188394
-87.57618269,36.16926623,172.17,261.99,89.82,382.1878971,0.001015282,73.51911468,499.339786,180.49,331.31,69.32,161.49,24.86593125,109.58,218.37,0.279785078,-0.157211239
-88.75114701,33.67819243,229.3,296.51,67.21,353.5321584,-0.096017073,75.19119369,495.0113426,188.13,326.67,30.16,163.45,24.92708037,114.72,221.88,0.277613593,-0.149836479
-88.19803104,21.23154338,164.3,236.08,71.78,225.8683361,-0.018107874,83.75693885,610.4500509,160.1,305.32,69.24,160.2,33.66957886,109.97,217.73,0.379826113,-0.213730693
-88.09119065,25.47654086,216.43,282.88,66.45,275.4166094,-0.047308527,70.54348995,420.9181593,200.74,332.95,50.07,164.37,18.33077171,110.49,216.49,0.204704804,-0.116227141
-88.49234319,25.7663354,161.61,214.31,52.7,265.8150201,0.000572044,81.86653238,626.4761948,192.77,367.02,152.71,178.71,39.71853045,122.81,238.61,0.401157823,-0.225910138
-88.74235099,33.91714567,191.34,255.4,64.06,357.1510734,-0.03241367,72.35918508,526.7552643,200.04,347.94,92.54,174.38,29.89096686,114.73,222.83,0.31069497,-0.18639742
-88.66758282,26.37375051,221.2,300.05,78.85,280.9488248,-0.061001225,71.60669662,548.8431992,221.7,393.03,92.98,184.98,33.93248096,127.16,241.56,0.333128854,-0.190680429
-88.60560155,18.96117213,191.15,247.03,55.88,214.1643453,0.004592337,79.41427939,618.9212982,152.94,300.05,53.02,156.55,33.44909409,107.15,214.13,0.385281068,-0.216284958
-88.25483655,24.98310684,188.67,254.49,65.82,272.5026285,0.000879994,67.19804086,498.6954749,205.85,356.54,102.05,176.7,27.91233552,112.02,219.84,0.284663263,-0.176792343
-88.62296417,34.44711571,193.84,266.7,72.86,372.2734442,-0.032561006,69.80208671,612.6533662,186.2,328.66,61.96,173.23,37.51084155,113.34,218.32,0.389278352,-0.239074913
-88.29109385,24.4686788,190.59,254.86,64.27,228.189626,-0.004974603,74.94352105,450.2226484,170.39,303.56,48.7,152.27,19.22576573,103.78,209.32,0.230798325,-0.126832082
-87.68322475,27.21914311,181.45,262.35,80.9,279.5706887,-0.006236899,60.19689037,403.7285081,245.78,414.97,152.62,195.25,20.1265054,112.7,224.48,0.183055452,-0.124766307
-88.30056281,36.09231544,193.69,291.58,97.89,388.0725831,-0.042646408,84.2471109,638.4961005,170.6,321.97,30.39,167.43,37.69782841,116.21,225.54,0.406996611,-0.228134723
-88.49281857,23.38686881,191.19,271.01,79.82,252.3395124,-0.01234753,64.84234877,498.8943275,245.78,446.74,175.73,194.28,30.3945543,129.4,250.45,0.283500872,-0.164576741
-88.55209512,23.36095279,169.44,221.84,52.4,256.9194032,0.039396682,82.90139189,465.1289593,148.06,286.56,64.72,143.97,18.8985541,99.23,207.04,0.239865916,-0.127429391
-87.83061364,26.03814586,179.94,251.42,71.48,280.2399097,0.03061125,80.71082558,459.3275531,155.24,279.48,28.06,147.11,19.16697914,98.67,202.83,0.237637635,-0.132041046
-88.71675194,40.8604382,185.62,260.23,74.61,434.6747965,-0.067448549,77.30652334,586.6703583,179.61,329.86,69.63,167.52,33.63034815,114.81,223.26,0.363311192,-0.207385041
-88.3923294,26.80836515,214.95,303.93,88.98,281.1471292,-0.067996745,73.25796612,474.3309708,246.02,431.82,127.89,190.98,27.05937423,131.44,251.89,0.259940482,-0.146565056
