RMP,V_peak,APD40,APD90,Tri9040,dVdt_max,qNet,Ca_diast,Ca_peak,CTD50,CTD90,EMw90,Tttp,T_peak,Trt50,Trt90,dTdt_max,dTdt_min
-88.43438434,32.94347235,194.94,273.13,78.19,345.8036866,-0.019585116,71.7053115,465.1398301,200.86,351.83,78.7,168.25,22.9832033,113.93,223.62,0.249479636,-0.141503932
-88.63061622,34.15183109,167.77,242.14,74.37,359.8001876,0.005346417,77.9871411,578.9446052,222.73,421.78,179.64,189.01,37.57529169,132.39,255.63,0.361132424,-0.197761637
-89.01156488,37.68756314,206.68,316.91,110.23,392.6216934,-0.091395897,82.15987668,618.6351397,211.85,407.98,91.07,183.73,39.5571998,137.56,260.75,0.394585207,-0.201840435
-88.18684245,30.22150734,133.65,191.6,57.95,317.3177743,0.078960616,82.92124523,574.735729,178.53,347.84,156.24,168.03,33.07496565,115.14,229.88,0.353867539,-0.196349594
-88.82037335,40.47482429,208.01,299.59,91.58,433.6504764,-0.050627787,60.03798913,391.8112444,267.89,443.56,143.97,199.71,19.01275232,124.15,239.01,0.173723876,-0.1105806
-88.57386324,34.19818675,165.43,216.49,51.06,361.6436443,0.037924432,73.99757796,432.6810095,164.2,292.86,76.37,148.79,17.25012826,98.74,203.09,0.212632749,-0.119635293
-88.53070449,30.04067626,208.93,272.42,63.49,310.9170896,-0.056521727,71.20949025,408.1305843,201.04,342.17,69.75,161.26,16.71031507,112.83,221.69,0.191477165,-0.102870715
-88.26202358,30.01095751,152.43,210.43,58,319.9856006,0.056665026,63.06008394,475.3487706,215.69,387.1,176.67,181.09,26.53590727,112.54,224.47,0.260764908,-0.162143733
-88.14604728,29.48099459,146.28,199.93,53.65,312.5189834,0.077780333,62.08627266,384.6065291,264.43,489,289.07,194.02,17.92149417,123.43,252.02,0.163292564,-0.09663074
-88.00917194,35.46707093,156.92,222.64,65.72,368.610112,0.020132688,78.13038877,478.5967554,195.56,349.47,126.83,171.31,24.92843006,110.32,221.44,0.263458275,-0.156292704
-88.73928345,42.303335,209.72,300.71,90.99,456.1302592,-0.078351696,68.22258733,438.4317436,228.83,379.49,78.78,177.94,21.61509323,122.14,232.79,0.223554856,-0.126904548
-88.3684476,39.21328012,127.02,187.73,60.71,421.6449046,0.10809559,70.31275481,420.8590774,256.18,497.87,310.14,187.69,21.27953689,132.15,268.9,0.204732618,-0.106845815
-88.57257317,34.91286128,180.16,251.23,71.07,367.7920266,0.014077625,77.92632356,523.3330131,160.44,296.24,45.01,153.83,25.54739515,103.84,209.12,0.300832616,-0.169695299
-88.83073411,28.72472989,236.52,325.43,88.91,299.7600213,-0.096425961,67.41858705,454.089335,253.25,436.47,111.04,189.46,24.65753336,133.42,252.65,0.23965844,-0.131945665
-88.34308396,22.20420196,140,192.7,52.7,241.6282367,0.081890171,76.80445508,485.5569739,226.73,442.65,249.95,181.99,27.37167346,128.44,257.39,0.271326803,-0.14332099
-87.94615038,37.55065282,138.31,206.6,68.29,409.2877873,0.083422066,74.8450388,451.9489296,178.92,323.84,117.24,160.56,20.92154224,102.34,210.29,0.23568225,-0.139150134
-88.86851788,25.72308108,266.58,352.63,86.05,268.0712296,-0.117511206,72.41108314,433.086566,225.05,389.72,37.09,171.55,20.20379768,127.4,244.91,0.21750977,-0.107777596
-88.77674506,25.97310445,245.78,321.39,75.61,278.3066891,-0.105339661,75.77447171,638.1256862,180.27,337.34,15.95,170.88,38.52757828,120.27,229.6,0.408157502,-0.225739212
-87.85721494,28.49093922,180.01,271.07,91.06,306.3490666,0.019835801,74.11812754,499.6625611,186.04,347.16,76.09,164.23,25.51126985,112.26,223.79,0.282407801,-0.156413051
-88.41672079,27.9088444,170.65,229.24,58.59,297.1176165,0.012964772,72.0736529,525.564289,195.79,356.26,127.02,173.14,29.71260357,113.33,224.03,0.30977004,-0.182906407
-88.57706869,39.66506859,164.65,226,61.35,424.6216312,0.013437457,75.80926664,550.3274253,164.44,297.73,71.73,158.3,28.76606707,103.43,207.58,0.327930746,-0.194841691
-88.13774022,33.39311103,169.81,240.83,71.02,346.9487958,-0.003357269,72.12788502,481.9713593,216.7,378.4,137.57,183.02,27.21006846,114.89,226.82,0.26766938,-0.165932337
-87.85601929,28.114757,169.72,241.3,71.58,302.6677845,0.043494485,73.11466762,500.3418512,162.19,290.09,48.79,153.87,23.92464385,99.01,201.82,0.280660865,-0.16719517
-88.49127669,35.26900252,156.97,231.15,74.18,368.7867736,0.044287771,79.2605613,520.2042475,202.97,379.96,148.81,176.16,29.58968563,119.41,236.65,0.304643969,-0.170793921
-88.22459332,27.26017601,189.55,267.44,77.89,287.4283921,-0.033898572,79.62410663,654.3977552,174.5,327.92,60.48,170.2,39.68263168,116.01,224.96,0.421086612,-0.243142023
-88.55986476,40.15598739,178.61,249.67,71.06,428.6055131,-0.031825066,79.29224928,543.2733894,184.17,329.92,80.25,167.5,29.95929598,112.81,221.33,0.3243997,-0.187702546
-88.04151852,29.12026435,194.63,285.68,91.05,304.0311431,-0.023175728,58.53315218,464.2008816,244.14,412.15,126.47,196.01,27.07911543,118.27,229.27,0.246745026,-0.163610894
-88.4222715,37.2764999,175.17,247.41,72.24,399.7562458,0.004590066,74.84686109,534.0808101,167.46,301.94,54.53,158.33,27.48942705,104.51,208.91,0.313428043,-0.183778271
-88.18430888,24.77528011,148.01,199.78,51.77,265.1888753,0.04924701,84.02118635,551.8044122,150.39,290.54,90.76,152.08,27.51022805,101.74,208.94,0.325923636,-0.183986021
-87.93654217,28.32382495,216.61,314.09,97.48,305.6286685,-0.03761531,72.57450668,566.59063,199.32,342.65,28.56,177.37,34.45382896,116.58,223.25,0.349234266,-0.210939755
-88.28054787,31.33204689,196.25,291.79,95.54,333.3249037,0.007579481,79.17174239,470.7070359,162.7,311.29,19.5,150.32,20.49473228,106.15,216.02,0.249256022,-0.128912608
-88.53080948,39.50816373,206.63,293.73,87.1,430.7696474,-0.034568579,71.66549163,429.9708136,194.06,331.77,38.04,160.32,18.56685621,111.9,219.56,0.213037184,-0.113629246
-88.19355591,32.83482247,184.28,264.37,80.09,339.0280316,-0.020373871,87.79024259,609.472639,155.61,296.67,32.3,158.28,33.15788097,108.76,216.15,0.37818393,-0.212115919
-88.06670023,38.86170577,170.93,265.06,94.13,409.40822,-0.011252544,73.41509623,472.7251252,227.5,421.42,156.36,181.47,25.55835959,126.26,248.19,0.258288872,-0.140243304
-88.65988052,41.79618862,217.36,323.22,105.86,447.946802,-0.0592387,71.92674278,407.346963,204.51,348.59,25.37,160.88,16.52276104,117.29,228.52,0.190477518,-0.095164454
-88.46762329,25.72034548,205.77,280.28,74.51,258.8879864,-0.041175841,73.98160094,526.342998,196.62,348.04,67.76,171.47,29.26261014,116,225.3,0.30975269,-0.178971809
-88.68788229,26.7468367,262.21,348.86,86.65,267.7705817,-0.134631803,65.02096547,513.6777273,249.35,416.31,67.45,194.49,31.99673699,133.31,247.18,0.299047853,-0.173268808
-88.3641482,19.74044625,237.05,310.4,73.35,223.458542,-0.04961142,75.60390339,483.4914234,186.5,347.42,37.02,161.44,23.45634251,115.33,228.18,0.265521614,-0.137766958
-88.84915616,29.42550573,209.48,272.63,63.15,308.6746881,-0.050961222,61.53804348,441.5487937,240.24,406.89,134.26,188.17,23.38606593,120.51,232.36,0.226618366,-0.13991261
-88.13864802,30.4474947,181.08,242.96,61.88,318.9920947,0.019098999,71.57109802,462.4007642,168.61,293.9,50.94,153.02,20.44692773,100.41,203.15,0.243273676,-0.141597286
-88.45107613,31.00461931,263.65,406.36,142.71,323.863939,-0.126424772,66.7061314,532.7760062,246.39,424.37,18.01,192.95,33.67724777,137.25,255.36,0.317974809,-0.172957355
-88.01201386,22.18335112,156.26,210.68,54.42,218.188965,0.057242307,71.4481223,424.5631099,206.68,384.06,173.38,170.18,19.63186,112.18,228.64,0.209271742,-0.118147911
-87.96139768,39.05891774,153.76,231.75,77.99,413.9257926,0.043293804,71.39962152,476.2094382,197.58,357.14,125.39,170.86,24.6379162,110.41,221.21,0.261200439,-0.154224411
-88.71017686,36.55576623,207.56,274.25,66.69,383.8593615,-0.049174348,68.93290767,441.673284,188.87,322.81,48.56,158.68,19.44642247,109.49,215.03,0.224455341,-0.122692225
-88.57902974,34.08899733,181.04,249.71,68.67,357.5199833,-0.003772143,78.23133293,501.8093386,176.67,322.45,72.74,160.11,24.90120391,109.13,217.74,0.282919296,-0.158088293
-89.02315016,40.70662888,208.89,281.44,72.55,443.6184626,-0.081455625,68.20526461,542.6331366,213.88,365.83,84.39,180.69,32.57305938,121.37,230.06,0.327008593,-0.194886358
-88.85656303,38.62193786,210.62,280,69.38,407.4035892,-0.082543282,79.36823143,574.8293278,166.33,307.82,27.82,160.08,30.98864379,111.58,217.9,0.350019423,-0.192456422
-88.26558946,24.18715993,178.19,233.83,55.64,264.5393556,0.039860131,65.40095171,389.5546543,198.98,347.75,113.92,163.59,15.49127956,104.9,213.02,0.173856705,-0.102003756
-88.60014255,37.44578111,205.23,287.83,82.6,400.4081909,-0.047631967,71.61593672,588.8290916,178.95,317.84,30.01,167.39,34.09302363,111.9,216.43,0.366523344,-0.216537564
-88.89243691,26.29698905,296.3,378.42,82.12,235.9133573,-0.161343623,58.50368646,387.0077615,266.58,426.44,48.02,185.78,17.20397619,132.71,248.61,0.171302638,-0.09008324
-88.29459461,41.45227329,188,262.15,74.15,442.8664654,-0.010778984,67.59475254,399.6144603,186.58,314.91,52.76,154.06,15.16757141,105.51,210.07,0.182080798,-0.099358024
-88.02744399,29.14253592,151.59,228.78,77.19,311.4628871,0.072567252,79.80222187,481.7517787,159.29,306.49,77.71,150.89,21.61586511,102.3,211.33,0.26054793,-0.142530805
-88.1323714,26.90437349,155.76,215.5,59.74,283.195265,0.057418982,64.7007661,388.1783929,259.14,471.57,256.07,194.16,18.41768146,121.23,246.86,0.167703697,-0.101768081
