RMP,V_peak,APD40,APD90,Tri9040,dVdt_max,qNet,Ca_diast,Ca_peak,CTD50,CTD90,EMw90,Tttp,T_peak,Trt50,Trt90,dTdt_max,dTdt_min
-88.4677,32.9559,194.8908,273.2436,78.3528,346.378,-0.0191,71.7245,465.5805,199.8908,350.9219,77.6783,167.8908,23.0311,113.8997,224.0311,0.2499,-0.1418
-88.6635,34.1628,167.0388,242.0275,74.9887,360.3534,0.0059,78.0047,579.4489,222.6043,420.8537,178.8262,189.0388,37.6299,131.8149,254.8149,0.3616,-0.198
-89.0476,37.6966,205.7666,316.9189,111.1523,393.9221,-0.0911,82.1889,619.4121,210.5085,404.6864,87.7675,183.266,39.6348,138.1029,258.3561,0.3952,-0.2021
-88.2177,30.2347,133.5058,191.1229,57.617,317.8012,0.0795,82.9396,575.1352,177.9211,345.7028,154.5799,168.0471,33.1153,112.8746,226.0411,0.3542,-0.1965
-88.8538,40.4806,207.3889,299.3262,91.9373,435.5007,-0.0502,60.0524,392.1814,267.313,438.3782,139.052,199.0834,19.0554,124.4032,239.2948,0.174,-0.1108
-88.6075,34.2091,164.6159,216.2811,51.6652,362.3705,0.0384,74.0182,433.0775,163.5916,289.7161,73.435,148.9626,17.288,97.519,202.5718,0.213,-0.1199
-88.5671,30.0556,207.576,272.0416,64.4657,311.3638,-0.0561,71.2384,408.6928,200.4385,339.8871,67.8454,160.1913,16.7652,113.6693,221.418,0.192,-0.1032
-88.294,30.0234,151.5102,209.8809,58.3708,320.3624,0.0573,63.0666,475.5931,215.607,386.3042,176.4232,181.2832,26.5645,109.2413,216.9819,0.261,-0.1623
-88.1788,29.4942,145.6374,199.9217,54.2843,313.5433,0.0783,62.095,384.8169,264.1053,484.4287,284.507,194.1747,17.9454,120.5411,244.3528,0.1635,-0.0967
-88.0436,35.4786,156.1145,222.1793,66.0648,369.2216,0.0207,78.1525,479.033,195.2217,348.2271,126.0477,171.1405,24.9758,107.9044,217.534,0.2639,-0.1565
-88.7758,42.3097,209.3822,300.3229,90.9407,457.423,-0.0779,68.2474,439.0074,228.6373,379.0024,78.6795,178.5924,21.6787,121.0567,231.3317,0.2241,-0.1273
-88.4011,39.2215,126.9063,187.7526,60.8463,422.9202,0.1086,70.3259,421.1294,255.389,495.6813,307.9287,187.7526,21.3108,128.5814,268.9271,0.205,-0.107
-88.603,34.922,179.8699,251.1349,71.265,368.6352,0.0146,77.9432,523.6808,159.9934,295.8247,44.6899,154.5118,25.582,103.1867,207.0825,0.3011,-0.1699
-88.8661,28.7387,235.2854,325.5209,90.2355,300.2587,-0.0961,67.4383,454.6076,252.7336,433.9809,108.4601,189.6214,24.7196,133.0541,251.7283,0.2401,-0.1322
-88.3759,22.2205,139.6543,192.4998,52.8455,242.5729,0.0825,76.8202,485.8729,225.4587,436.5557,244.0559,182.0962,27.4079,128.1888,254.4595,0.2716,-0.1435
-87.9751,37.557,137.9556,206.5239,68.5684,411.1277,0.0839,74.8552,452.175,178.3276,321.1126,114.5886,160.658,20.9451,100.3438,206.2,0.2359,-0.1393
-88.9045,25.7338,266.7013,352.5583,85.857,268.7365,-0.1172,72.4348,433.6012,224.2305,389.2595,36.7012,172.5825,20.2579,126.1275,242.9507,0.218,-0.108
-88.8111,25.9882,244.7391,321.0958,76.3567,278.8216,-0.1049,75.7968,638.858,180.0936,336.8806,15.7848,170.9994,38.5969,119.9735,229.2069,0.4087,-0.2261
-87.8846,28.5017,178.4528,270.8623,92.4095,307.3548,0.0201,74.1337,500.037,185.7321,347.1123,76.25,163.4695,25.5508,112.6273,222.2577,0.2828,-0.1566
-88.449,27.9226,170.2826,228.9411,58.6585,297.951,0.0135,72.0884,525.9827,195.4567,354.0654,125.1243,173.4334,29.7587,112.5027,223.0873,0.3101,-0.1831
-88.6092,39.67,164.5158,225.4699,60.9541,425.42,0.014,75.8245,550.7247,163.6279,296.2168,70.747,158.3148,28.8062,102.6966,205.9564,0.3282,-0.1951
-88.1731,33.4046,169.0432,240.5285,71.4853,347.6009,-0.0028,72.1455,482.4067,216.5343,376.788,136.2595,182.9315,27.2606,114.5342,221.3617,0.2681,-0.1662
-87.8829,28.1246,168.7371,241.047,72.3099,302.9688,0.044,73.1227,500.5448,161.5524,288.3391,47.2921,153.2661,23.9453,99.0322,201.9101,0.2809,-0.1673
-88.5218,35.2789,156.3544,231.1344,74.78,369.4235,0.0448,79.2769,520.5577,202.9473,376.3122,145.1778,176.1025,29.6293,117.95,233.845,0.3049,-0.171
-88.2543,27.273,189.3398,266.7971,77.4573,287.9005,-0.0334,79.6429,654.9636,174.1909,327.4646,60.6675,170.3835,39.7345,114.9199,223.3599,0.4215,-0.2434
-88.5963,40.1616,178.0183,249.221,71.2027,429.4965,-0.0313,79.3197,543.9022,183.4556,328.6294,79.4084,167.5677,30.0245,111.9765,220.0264,0.325,-0.1881
-88.0745,29.1279,193.6745,285.4287,91.7542,304.3444,-0.0227,58.5406,464.5443,243.9734,411.6692,126.2404,195.4096,27.1201,118.2998,225.4402,0.2471,-0.1638
-88.4563,37.2839,173.4789,247.1715,73.6927,400.419,0.0051,74.8641,534.5142,166.6083,300.2109,53.0393,158.1159,27.5332,104.1633,206.9214,0.3138,-0.1841
-88.2148,24.7892,147.8705,199.4242,51.5537,265.4815,0.0497,84.0462,552.2712,149.6531,290.004,90.5798,152.327,27.5557,99.4942,204.2477,0.3264,-0.1842
-87.9686,28.336,216.4213,314.2514,97.83,306.1482,-0.0371,72.5858,566.9706,196.8751,342.2683,28.017,176.2112,34.4928,117.1349,223.5904,0.3496,-0.2112
