Model_Index,GNa,GNaL,Gto,GKr,GKs,GK1,Gncx,GNaK,GCaL,GJrel,GJup,Ca50,Myo,Cao
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1.05159,0.929618,1.3131,1.08456,0.887422,1.03919,0.688507,1.11443,1.18475,0.694036,0.794054,1,1,1
9,1.14547,1.29717,0.648945,0.711821,1.16624,1.05953,0.569206,1.48083,0.978903,1.08005,0.892325,1,1,1
10,0.877374,0.683439,1.34441,1.42568,0.835733,0.792315,0.590576,1.02489,1.00358,0.673526,1.06157,1,1,1
16,1.38541,0.790886,0.821897,0.942849,0.645782,1.25393,1.24004,1.28338,1.28513,1.35051,0.631997,1,1,1
17,1.04748,1.03119,1.40467,1.46026,1.45721,1.4418,0.967371,1.13617,0.89238,0.959977,1.29484,1,1,1
18,0.817171,1.48973,0.669151,1.2977,0.557366,0.927963,1.0533,1.27921,0.908987,0.892652,1.06251,1,1,1
22,0.926233,0.507939,1.46523,1.46226,1.23801,1.09635,1.13727,0.78313,1.35061,1.31439,0.76945,1,1,1
24,0.900352,0.580021,0.920002,1.27736,1.31419,1.43722,0.85513,0.668735,1.08057,0.977431,0.518824,1,1,1
26,1.13305,0.883037,0.633609,1.47021,1.28636,0.697414,0.913314,0.993682,1.19707,0.534495,1.00431,1,1,1
27,1.49827,1.11185,0.684479,1.06267,0.608134,0.962531,1.20413,1.3847,1.24485,1.06793,0.898672,1,1,1
32,1.37736,0.564184,1.12208,1.13162,0.520784,1.49872,0.533505,0.881512,0.867058,1.21869,0.577066,1,1,1
33,1.09025,0.550549,0.885281,0.852344,0.610085,1.3234,0.929237,0.997172,0.989977,1.10367,1.33808,1,1,1
45,0.75599,1.28217,1.13454,0.858261,1.48875,0.864745,0.937329,1.47939,1.10394,1.01978,0.718734,1,1,1
46,0.554663,0.539963,1.04687,1.3179,1.15916,0.84402,0.522929,1.26219,0.961517,0.642293,0.715394,1,1,1
47,1.44452,0.557657,1.04165,1.09804,0.61576,1.44098,0.905973,0.522044,0.969276,0.761746,1.09384,1,1,1
48,0.636904,1.15102,0.63976,0.601259,1.18295,1.20404,0.96909,1.31203,0.952353,0.659118,0.932002,1,1,1
49,0.703965,1.28316,1.43194,0.860664,0.587827,1.04184,1.08691,1.10484,1.18289,0.976976,1.15515,1,1,1
50,0.902139,1.18063,1.4033,0.849807,1.11813,0.865875,0.6942,0.556141,0.719088,1.37437,1.03855,1,1,1
51,0.801471,1.11668,1.48281,1.42976,1.34035,1.00507,0.935791,0.948608,1.1298,0.970357,0.968809,1,1,1
52,1.35698,0.712257,1.14222,1.4127,0.963341,0.983513,1.05891,1.25016,1.25088,1.22415,1.30135,1,1,1
55,1.04617,0.876275,0.5498,1.39538,1.36601,0.827688,1.11247,0.864995,1.38129,0.574372,0.857304,1,1,1
58,0.897649,0.579692,0.994343,0.94185,1.16999,1.14662,1.10249,0.505334,0.994786,1.08434,1.31572,1,1,1
59,1.06389,0.538648,1.46388,1.03069,1.0907,0.814936,0.687014,1.39555,1.09633,0.592516,0.906899,1,1,1
63,0.760962,1.05315,1.23316,1.11415,0.856803,0.621477,0.888943,1.05579,1.20755,0.856163,1.17975,1,1,1
67,1.3847,1.12623,0.79184,1.34868,0.873657,0.924716,0.985829,1.23305,1.24554,0.783736,1.14691,1,1,1
